Risk Factor ;Medical Context ;ICD Codes;Drug Names ;Keywords ;Abbreviations ;Notes;Reference
Adm from ED;"Disease severity marker; high MRSA colonization environment";-;-;emergency room | emergency department;ER | ED;;
Advanced Age;Age-related immune decline;-;-;elderly | geriatric | nonagenarian | octogenarian | advanced age | 6[5-9][\s-]?y\.?\s?/?\s?o\.?[mf]? | [7-9]\d[\s-]?y\.?\s?/?\s?o\.?[mf]? | 6[5-9][\s-]?years?[\s-]?old | [7-9]\d[\s-]?years?[\s-]?old;-;;https://www.sciencedirect.com/science/chapter/bookseries/abs/pii/S0065277608600474, https://pmc.ncbi.nlm.nih.gov/articles/PMC10111773/, https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1447-0594.2006.00341.x
Albumin Measurement;Indicator for inflammation;-;-;ALBUMIN(?:,?\s*BLD)?\s*\d+;-;;
Antibiotic Exposure ;Selects for resistant organisms;-;metronidazole | sulfamethoxazole | trimethoprim | rocephin | ceph\w* | cef\w* | \w*micin | \w*mycin | \w*penem | \w*floxacin | \w*cillin(?<!penicillin) | \w*cycline | linezolid | mupirocin | beta[\s-]?lactam | ancef | quinolone;antibiotic | antibacterial | antimicrobial therapy | antibiotics;AMX | CIP | CLI | AZM | LEVO | SMX-TMP | TMP/SMX | vanc | cef | azithro | abx;;https://www.drugs.com/article/antibiotics.html, https://microbiologie-clinique.com/antibiotic-family-abbreviation.html, https://pressbooks.openeducationalberta.ca/medicalterminologyii/back-matter/common-suffixes/, https://denalirx.com/drug-prefix-root-and-suffix/
Bacteremia;Bloodstream infection evidence;R78.81 | A49.9;-;bacterial infection | bloodstream infection | positive blood culture | Serratia | e.? coli | bacteremia | pseudomonas | MRSA;BSI;;
Bone Marrow Transplant;Profound immunosuppression;Z94.81;-;bone marrow transplant | stem cell transplant | allogeneic transplant | autologous transplant;HSCT;;
Central Venous Catheter;"Invasive vascular devices breaches skin barrier; Primary route for catheter-related bacteremia (CLABSI)";-;-;central line | c-line | central venous catheter | central venous line | central venous access catheter | port-a-cath | tunnelled catheter | peripherally inserted central catheter;CVC | PICC;;"https://en.wikipedia.org/wiki/Central_venous_catheter; https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/central-line-and-central-line-placement"
Chronic Kidney Disease;Unemia-associated immune dysfunction;N18;-;chronic kidney disease | chronic renal disease | kidney failure | impaired kidney function | BUN\s*>?\s*\d+ | BUN\s*<?\s*\d+ | CREAT(?:ININE)?(?:\s*,\s*VEN)?\s*\d+ | Cr\s*\d+;CKD;;https://pdfs.semanticscholar.org/c0e8/dd9e0fb34ca3457a9a71c5a9be7e6ba545e1.pdf
Coronary Artery Disease;"Comorbidity; chronic disease";I25;-;coronary artery disease | bypass | statin therapy | beta blockers | beta blocker therapy;CAD;;https://www.aafp.org/afp/2018/0315/p376
Corticosteroid Use;"Immune suppression; Skin barrier disruption";Z79.5;budesonide | bethamethasone | clobetasol | \w*sone | \w*lone(?<!quinolone) | \w*cort\w* | \w*onide | pred\w*;on steroids | steroid therapy | corticosteroid | chronic steroid use | long-term steroid;pred | MP | dex;;https://www.nhs.uk/medicines/steroids/, https://pressbooks.openeducationalberta.ca/medicalterminologyii/back-matter/common-suffixes/
