Risk Factor ;Medical Context ;ICD Codes;Drug Names ;Keywords ;Abbreviations ;Negation Caveats;Reference
Prior MRSA;History of MRSA colonization or infection;Z22.322 | Z86.14 | A49.02;vancomycin | teicoplanin | telavancin | ceftaroline | daptomycin | linezolid | sivextro | tedizolid;“MRSA colonization” | “MRSA infection” | “known MRSA” | “history MRSA” | “prior MRSA” | “MRSA carrier” | “MRSA positive”;VAN | TEC | TEI | TP | TPL;;"https://www.mdpi.com/2079-6382/11/5/606; https://www.drugs.com/monograph/vancomycin.html; https://www.drugs.com/international/teicoplanin.html; https://microbiologie-clinique.com/antibiotic-family-abbreviation.html"
Prior Staph;History of Staphylococcus Aureus colonization or infection (MSSA);Z22.321 | A49.01;oxacillin | nafcillin | cefazollin;“MSSA” | “SA infection” | “S. Aureus” | “staph infection” | “staphylococcus aureus”;MSSA | SA | SAB;;https://www.hopkinsguides.com/hopkins/view/Johns_Hopkins_ABX_Guide/540518/all/Staphylococcus_aureus
Corticosteroid Use;"Immune suppression; Skin barrier disruption";Z79.5;prednisone | methylprednisolone | dexamethasone | prednisolone | budesonide | bethamethasone | triamcinolone | cortisone | hydrocortisone | fludrocortisone | ethamethasoneb;"""on steroids"" | ""steroid therapy"" | “corticosteroid"" | “chronic steroid use” | “long-term steroid”";pred | MP | dex;exclude topical or inhaled only;
Immunosuppressant Use;"Anti-rejection; DMARD agents";Z79.60 | Z79.62;azathioprine | cyclosporine | etanercept | methotrexate | mycophenolate mofetil | tacrolimus | adalimumab | infliximab | sirolimus;“immunosuppressants” | “immunosuppressive drug” | “on immunosuppression” | “DMARD” | “biologic therapy”;MTX | AZA | MMF;;https://my.clevelandclinic.org/health/treatments/10418-immunosuppressants
Central Venous Catheter;"Invasive vascular devices breaches skin barrier; Primary rout for catheter-related bacteremia (CLABSI)";-;-;"""central line"" | ""c-line"" | ""central venous catheter"" | ""central venous line"" | ""central venous access catheter” | “port-a-cath” | “tunnelled catheter” | “peripherally inserted central catheter”";CVC | PICC;;"https://en.wikipedia.org/wiki/Central_venous_catheter; https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/central-line-and-central-line-placement"
Hemodialysis;Vascular access for hemodialysis is recurrent infection portal;Z99.2;-;"“hemodialysis"" | “haemodialysis"" | “dialyzer"" | “AV fistulas” | “AV graft” | “shunt”";HD;;https://www.niddk.nih.gov/health-information/kidney-disease/kidney-failure/hemodialysis
Peritoneal Dialysis;Peritoneal catheter is infection portal;-;-;“peritoneal dialysis” | “PD catheter”;APD | CAPD;;
ICU Admission;High colonisation pressure;-;-;"""intensive-care unit” | “intensive care unit” | “intensive therapy unit” | “intensive treatment unit” | “critical care unit”";ICU | ITU;;
Invasive Mechanical Ventilation;"Endotracheal intubation bypasses upper airway defenses; Risk of ventilator-associated pneumonia";-;-;“mechanical ventilation” | “assisted ventilation” | “ventilator” | “intubated” | “intubation” | “endotracheal tube”;ETT;;
Surgical Procedure;Skin integrity breach;-;-;“surgical procedure” | “surgical intervention” | “surgery” | “operation” | “post-operative” | “s/p surgery”;-;;
Organ Impairment;Critical illness;N17 | N18 | N19 | N28.9 | K72 | I50 | G93.4 | F06.7 | R65.1;-;"""organ impairment"" | ""organ dysfunction"" | ""organ failure"" | ""organ malfunction"" | ""multiple organ dysfunction syndrome""";MODS;;https://my.clevelandclinic.org/health/diseases/multiple-organ-dysfunction-syndrome
